City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
134,Siocon,PH,78.87,overcast clouds,7.7061,122.1353,ABS Hotel
140,Hargeysa,SO,73.02,broken clouds,9.56,44.065,City Center Hotel
141,El Alto,PE,74.86,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
143,Ponta Do Sol,PT,65.01,broken clouds,32.6667,-17.1,Hotel do Campo
149,Steubenville,US,67.44,clear sky,40.3698,-80.634,University hotel steubenville
152,Villa Rica,US,71.38,scattered clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
157,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
160,Gat,IL,68.4,clear sky,31.61,34.7642,OlusHome
161,Carauari,BR,80.33,scattered clouds,-4.8828,-66.8958,Hotel Fellip
165,Saint-Pierre,RE,71.91,clear sky,-21.3393,55.4781,Alize Plage
166,Cockburn Town,TC,79.47,clear sky,21.4612,-71.1419,Osprey Beach Hotel
170,Mount Isa,AU,67.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
175,Vao,NC,73.94,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
178,Biltine,TD,88.97,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
179,Mahibadhoo,MV,84.33,overcast clouds,3.7833,72.9667,Omadhoo Inn
180,Norsup,VU,79.18,clear sky,-16.0667,167.3833,Nabelchel Bungalows
181,Ca Mau,VN,80.37,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
185,Doha,QA,84.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
186,Tondano,ID,69.89,overcast clouds,1.3038,124.9112,Villa Bella
188,Dingle,PH,77.97,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
190,Shiloh,US,75.63,clear sky,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O'Fallon IL
192,Quelimane,MZ,73.35,clear sky,-17.8786,36.8883,Hotel Flamingo
193,Victoria Point,AU,66.15,moderate rain,-27.5833,153.3,Bay Retreat Motel
194,Hervey Bay,AU,71.65,light rain,-25.2986,152.8535,Shelly Bay Resort
196,Amudat,UG,70.38,overcast clouds,1.95,34.95,Silent Night Hotel
200,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
203,Wuxue,CN,68.13,overcast clouds,29.8506,115.5525,Wuxue Station Hostel
204,San Patricio,US,94.15,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
206,Qui Nhon,VN,77.23,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
207,Mecca,SA,81.9,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
208,Touros,BR,79.14,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
209,Yanam,IN,80.92,broken clouds,16.7333,82.2167,The Regency Hotel
210,Lompoc,US,72.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
213,Lincoln,US,71.56,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
217,Cidreira,BR,66.51,clear sky,-30.1811,-50.2056,Hotel Castelo
218,Harper,LR,76.46,overcast clouds,4.375,-7.7169,Screensaver
221,Richards Bay,ZA,65.41,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
225,Kano,NG,91.29,clear sky,12.0001,8.5167,Royal Tropicana Hotel
226,Paita,PE,72.52,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
229,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
230,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
231,Nouadhibou,MR,66.18,few clouds,20.931,-17.0347,El Medina
233,Awbari,LY,72.07,clear sky,26.5921,12.7805,فندق أوباري
235,Monrovia,LR,77.74,light rain,6.3005,-10.7969,Sunset Inn
244,Progress,US,65.75,clear sky,40.2851,-76.8314,Hilton Garden Inn Harrisburg East
245,Honiara,SB,80.37,overcast clouds,-9.4333,159.95,Heritage Park Hotel
246,Vila Franca Do Campo,PT,67.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
