City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Todos Santos,MX,2022-05-06 04:25:53,23.45,-110.2167,66.72,78,0,7.05
101,Esperance,AU,2022-05-06 04:13:51,-33.8667,121.9,64.36,49,16,7.58
102,Kununurra,AU,2022-05-06 04:25:54,-15.7667,128.7333,87.78,27,0,14.97
103,Kungurtug,RU,2022-05-06 04:25:54,50.5994,97.5228,56.75,28,98,1.28
104,Sandy Bay,AU,2022-05-06 04:25:55,-42.913,147.3532,57.09,80,75,8.05
105,Bonthe,SL,2022-05-06 04:25:55,7.5264,-12.505,77.41,76,93,3.38
106,Geraldton,AU,2022-05-06 04:25:56,-28.7667,114.6,77.41,25,0,12.66
107,Ospitaletto,IT,2022-05-06 04:25:56,45.1333,10.6,56.35,95,100,10.0
108,Vostok,RU,2022-05-06 04:19:23,46.4856,135.8833,55.06,71,100,14.56
109,Huarmey,PE,2022-05-06 04:25:57,-10.0681,-78.1522,65.68,87,74,9.66
110,Cam Ranh,VN,2022-05-06 04:25:57,11.9214,109.1591,85.96,70,20,10.36
111,Beringovskiy,RU,2022-05-06 04:25:58,63.05,179.3167,30.69,80,22,3.11
112,Bethel,US,2022-05-06 04:20:43,41.3712,-73.414,57.65,59,0,0.0
113,Mareeba,AU,2022-05-06 04:19:27,-17.0,145.4333,82.49,70,96,6.38
114,Barrow,US,2022-05-06 04:20:38,71.2906,-156.7887,17.62,86,100,19.57
115,Bengkulu,ID,2022-05-06 04:25:59,-3.8004,102.2655,85.24,65,69,4.79
116,Chongqing,CN,2022-05-06 04:26:00,29.5628,106.5528,84.52,46,0,3.0
117,Kavieng,PG,2022-05-06 04:26:00,-2.5744,150.7967,84.51,75,65,12.86
118,Baykit,RU,2022-05-06 04:19:10,61.67,96.37,50.58,56,76,5.53
119,Tiksi,RU,2022-05-06 04:26:01,71.6872,128.8694,23.02,82,18,8.59
120,Quthing,LS,2022-05-06 04:26:01,-30.4,27.7003,48.99,55,0,1.43
121,Alice Springs,AU,2022-05-06 04:15:00,-23.7,133.8833,60.35,33,33,12.66
122,Kahului,US,2022-05-06 04:22:01,20.8947,-156.47,75.22,82,40,21.85
123,Kawai,JP,2022-05-06 04:26:02,34.2333,135.85,67.42,39,100,5.86
124,Sitka,US,2022-05-06 04:26:03,57.0531,-135.33,44.49,76,75,0.0
125,Awjilah,LY,2022-05-06 04:26:03,29.1081,21.2869,66.24,31,0,11.5
126,Pevek,RU,2022-05-06 04:19:18,69.7008,170.3133,29.98,87,93,4.94
127,Marfino,RU,2022-05-06 04:26:04,55.7028,37.3822,46.31,45,0,8.95
128,Butaritari,KI,2022-05-06 04:26:05,3.0707,172.7902,81.55,72,41,17.69
129,Abu Dhabi,AE,2022-05-06 04:26:05,24.4667,54.3667,86.11,34,0,8.05
130,Port Hardy,CA,2022-05-06 04:19:20,50.6996,-127.4199,46.4,81,40,5.75
131,Inhambane,MZ,2022-05-06 04:26:06,-23.865,35.3833,69.78,94,75,4.61
132,Santa Maria,BR,2022-05-06 04:26:06,-29.6842,-53.8069,51.1,100,20,2.3
133,Puerto Ayora,EC,2022-05-06 04:26:07,-0.7393,-90.3518,73.17,93,100,5.95
134,Nikolayevskaya,RU,2022-05-06 04:27:07,47.6139,41.5023,47.95,55,100,16.49
135,East Wenatchee Bench,US,2022-05-06 04:27:08,47.4257,-120.2812,54.59,63,40,6.91
136,Plettenberg Bay,ZA,2022-05-06 04:27:08,-34.0527,23.3716,59.22,90,4,6.64
137,Thompson,CA,2022-05-06 04:19:11,55.7435,-97.8558,41.16,75,75,4.61
138,Avera,US,2022-05-06 04:27:09,33.194,-82.5271,69.85,66,94,6.24
139,Leningradskiy,RU,2022-05-06 04:27:10,69.3833,178.4167,23.85,88,93,6.2
140,Menongue,AO,2022-05-06 04:27:10,-14.6585,17.691,58.37,71,84,2.86
141,Mar Del Plata,AR,2022-05-06 04:19:07,-38.0023,-57.5575,57.87,77,0,9.22
142,Broome,US,2022-05-06 04:27:11,42.2506,-75.833,53.8,63,0,6.91
143,Torbay,CA,2022-05-06 04:27:12,47.6666,-52.7314,41.76,94,100,5.75
144,Port Augusta,AU,2022-05-06 04:18:01,-32.5,137.7667,61.02,50,100,8.77
145,Horodok,UA,2022-05-06 04:27:13,49.1637,26.5839,44.22,72,10,8.48
146,Tyulgan,RU,2022-05-06 04:27:13,52.3405,56.166,38.32,57,69,15.79
147,Port Elizabeth,ZA,2022-05-06 04:27:14,-33.918,25.5701,62.31,94,20,13.8
148,Ucluelet,CA,2022-05-06 04:27:15,48.9329,-125.5528,48.09,86,99,4.0
149,Georgetown,MY,2022-05-06 04:19:26,5.4112,100.3354,89.55,69,20,8.05
150,Goderich,CA,2022-05-06 04:27:16,43.7501,-81.7165,50.32,76,100,2.3
151,Ilulissat,GL,2022-05-06 04:27:18,69.2167,-51.1,15.82,62,2,0.0
152,San Patricio,US,2022-05-06 04:27:19,28.017,-97.5169,80.49,89,33,6.53
153,Vagay,RU,2022-05-06 04:27:24,57.9375,69.0217,51.15,71,100,12.41
154,Troitskoye,RU,2022-05-06 04:27:25,52.9821,84.6757,63.63,26,34,6.24
155,South Lake Tahoe,US,2022-05-06 04:24:28,38.9332,-119.9844,55.29,47,100,19.57
156,Nargana,PA,2022-05-06 04:27:26,9.4428,-78.5906,79.65,85,100,6.26
157,Garmsar,IR,2022-05-06 04:27:26,35.2182,52.3409,76.05,30,7,3.69
158,Lianzhou,CN,2022-05-06 04:27:27,24.7811,112.3825,85.24,54,94,3.27
159,Severo-Kurilsk,RU,2022-05-06 04:20:32,50.6789,156.125,37.62,81,66,5.32
160,Gat,IL,2022-05-06 04:26:01,31.61,34.7642,63.28,100,73,12.1
161,Piranshahr,IR,2022-05-06 04:27:28,36.701,45.1413,54.3,60,1,4.27
162,Barcelos,PT,2022-05-06 04:27:29,41.5388,-8.6151,58.84,79,14,3.53
163,Narsaq,GL,2022-05-06 04:27:29,60.9167,-46.05,34.02,96,100,11.83
164,Carnarvon,AU,2022-05-06 04:18:08,-24.8667,113.6333,86.07,25,0,9.22
165,Ternate,ID,2022-05-06 04:27:30,0.8,127.4,85.37,71,82,4.92
166,Flinders,AU,2022-05-06 04:27:31,-34.5833,150.8552,68.05,34,0,6.73
167,Kendari,ID,2022-05-06 04:27:31,-3.945,122.4989,85.48,75,36,2.84
168,Asfi,MA,2022-05-06 04:27:32,32.2994,-9.2372,62.44,80,0,14.38
169,Strelka,RU,2022-05-06 04:27:32,58.0728,93.0344,53.67,43,100,6.17
170,Silla,ES,2022-05-06 04:27:33,39.3667,-0.4167,59.77,77,0,3.44
171,Aripuana,BR,2022-05-06 04:27:33,-9.1667,-60.6333,71.53,96,49,0.89
172,Puerto Del Rosario,ES,2022-05-06 04:27:34,28.5004,-13.8627,64.15,77,0,10.36
173,Forrest City,US,2022-05-06 04:27:34,35.0081,-90.7898,62.28,94,100,10.0
174,Clarence Town,AU,2022-05-06 04:27:35,-32.5833,151.7833,68.95,46,4,7.23
175,Suleja,NG,2022-05-06 04:27:39,9.1758,7.1808,74.39,90,100,5.55
176,Kirakira,SB,2022-05-06 04:27:39,-10.4544,161.9205,84.79,73,58,6.91
177,Lompoc,US,2022-05-06 04:27:02,34.6391,-120.4579,54.79,83,0,27.0
178,Ancud,CL,2022-05-06 04:17:45,-41.8697,-73.8203,53.38,88,96,6.93
179,Micheweni,TZ,2022-05-06 04:28:44,-4.9667,39.8333,78.21,81,36,14.52
180,Aldan,RU,2022-05-06 04:24:17,58.6031,125.3894,33.87,65,100,8.9
181,Faya,SA,2022-05-06 04:26:03,18.3851,42.4509,64.92,39,58,3.09
182,Sola,VU,2022-05-06 04:24:54,-13.8833,167.55,82.06,75,18,11.54
183,Venado Tuerto,AR,2022-05-06 04:28:45,-33.7456,-61.9688,54.77,64,1,8.14
184,Kodiak,US,2022-05-06 04:28:46,57.79,-152.4072,44.11,81,100,16.11
185,Lebu,CL,2022-05-06 04:18:17,-37.6167,-73.65,51.3,86,0,4.59
186,Victoria,HK,2022-05-06 04:26:14,22.2855,114.1577,84.96,68,11,11.01
187,Jacareacanga,BR,2022-05-06 04:28:47,-6.2222,-57.7528,72.73,99,80,1.5
188,Saint-Philippe,RE,2022-05-06 04:28:47,-21.3585,55.7679,78.39,84,61,17.49
189,Constitucion,CL,2022-05-06 04:26:09,-35.3333,-72.4167,54.97,89,0,6.26
190,Hasaki,JP,2022-05-06 04:28:48,35.7333,140.8333,77.29,70,100,10.92
191,Touros,BR,2022-05-06 04:28:49,-5.1989,-35.4608,76.44,92,100,9.78
192,Teacapan,MX,2022-05-06 04:28:49,22.55,-105.75,70.68,80,0,3.89
193,Sisimiut,GL,2022-05-06 04:28:50,66.9395,-53.6735,20.08,63,0,9.26
194,Nelson Bay,AU,2022-05-06 04:28:50,-32.7167,152.15,69.1,53,8,1.01
195,Gazli,UZ,2022-05-06 04:28:51,40.1333,63.45,80.24,37,2,11.5
196,Saint-Pierre,RE,2022-05-06 04:28:51,-21.3393,55.4781,78.48,73,0,26.46
197,Saint George,US,2022-05-06 04:19:26,37.1041,-113.5841,75.63,17,0,6.91
198,Namibe,AO,2022-05-06 04:20:51,-15.1961,12.1522,76.84,51,0,0.94
199,Cabo San Lucas,MX,2022-05-06 04:27:44,22.8909,-109.9124,73.51,74,0,9.98
200,Kitami,JP,2022-05-06 04:28:52,43.8031,143.8908,85.46,30,83,13.6
201,Portland,US,2022-05-06 04:25:58,45.5234,-122.6762,54.54,81,84,4.0
202,Richards Bay,ZA,2022-05-06 04:28:53,-28.783,32.0377,62.58,91,1,6.44
203,La Ronge,CA,2022-05-06 04:28:54,55.1001,-105.2842,39.45,81,100,9.22
204,Kieta,PG,2022-05-06 04:28:54,-6.2167,155.6333,84.42,76,86,8.03
205,Ponta Do Sol,PT,2022-05-06 04:28:55,32.6667,-17.1,64.0,70,100,3.44
206,Pangnirtung,CA,2022-05-06 04:28:55,66.1451,-65.7125,9.18,89,33,6.2
207,Codrington,AU,2022-05-06 04:28:56,-38.2667,141.9667,54.95,73,98,10.71
208,Wadi Maliz,TN,2022-05-06 04:28:56,36.4681,8.5495,58.66,88,99,21.43
