City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
98,Biak,ID,-0.9131,122.8766,77.04,87,100,6.33,overcast clouds,0,0
99,Mayo,US,38.8876,-76.5119,55.81,55,100,13.8,overcast clouds,0,0
100,Isangel,VU,-19.55,169.2667,76.51,69,28,13.67,scattered clouds,0,0
101,Xiantao,CN,30.3833,113.4,62.82,81,31,11.5,scattered clouds,0,0
102,Ilulissat,GL,69.2167,-51.1,28.42,74,20,4.61,few clouds,0,0
103,Mackay,AU,-21.15,149.2,70.68,94,75,6.91,broken clouds,0,0
104,Upata,VE,8.0086,-62.3989,72.19,88,95,5.59,overcast clouds,0,0
105,Atbasar,KZ,51.8,68.3333,46.98,42,6,10.8,clear sky,0,0
106,Oranjemund,NA,-28.55,16.4333,56.46,75,59,11.43,broken clouds,0,0
107,Amuntai,ID,-2.4177,115.2494,75.25,99,100,1.59,overcast clouds,0,0
108,Ayagoz,KZ,47.9714,80.4392,38.89,36,6,17.25,clear sky,0,0
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,78,14,12.82,few clouds,0,0
110,Arenapolis,BR,-14.4503,-56.8461,80.04,50,11,4.03,few clouds,0,0
111,Guerrero Negro,MX,27.9769,-114.0611,67.17,57,0,20.54,clear sky,0,0
112,Cabedelo,BR,-6.9811,-34.8339,81.27,78,98,13.69,overcast clouds,0,0
113,Zhanaozen,KZ,43.3,52.8,56.7,87,77,16.11,broken clouds,0,0
114,Saint George,US,37.1041,-113.5841,84.63,13,0,26.46,clear sky,0,0
115,Tasiilaq,GL,65.6145,-37.6368,37.56,66,100,4.09,overcast clouds,0,0
116,Grand Island,US,40.925,-98.342,75.24,68,40,8.05,scattered clouds,0,0
117,Sawakin,SD,19.1059,37.3321,80.62,59,0,7.99,clear sky,0,0
118,Tabou,CI,4.423,-7.3528,78.94,86,100,7.14,overcast clouds,0,0
119,Avarua,CK,-21.2078,-159.775,84.25,79,40,6.91,scattered clouds,0,0
120,Puri,IN,19.8,85.85,82.92,86,99,5.37,overcast clouds,0,0
121,Basco,PH,20.4487,121.9702,82.99,75,90,13.91,overcast clouds,0,0
122,Bethel,US,41.3712,-73.414,59.65,41,0,13.8,clear sky,0,0
123,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,75,9.22,broken clouds,0,0
124,Maldonado,UY,-34.6667,-54.9167,72.79,72,5,5.37,clear sky,0,0
125,Krasnaya Gorbatka,RU,55.8703,41.7641,50.2,75,93,7.56,overcast clouds,0,0
126,Jinka,ET,5.65,36.65,64.06,84,19,2.57,light rain,0,0
127,Bowen,AU,-20.0167,148.2333,72.7,89,100,12.8,overcast clouds,0,0
128,Yuancheng,CN,36.652,107.7896,49.48,78,99,2.19,overcast clouds,0,0
129,Kodiak,US,57.79,-152.4072,47.71,43,0,21.85,clear sky,0,0
130,New Norfolk,AU,-42.7826,147.0587,41.72,82,42,2.86,scattered clouds,0,0
131,Atambua,ID,-9.1061,124.8925,72.9,84,33,8.03,scattered clouds,0,0
132,Lamu,KE,-2.2717,40.902,79.02,83,94,18.41,light rain,0,0
133,Makakilo City,US,21.3469,-158.0858,80.92,57,75,10.36,broken clouds,0,0
134,Siocon,PH,7.7061,122.1353,78.87,87,90,1.88,overcast clouds,0,0
135,Kibakwe,TZ,-6.7167,36.3667,62.2,88,95,3.58,overcast clouds,0,0
136,Ulladulla,AU,-35.35,150.4667,54.5,86,54,6.78,broken clouds,0,0
137,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,89.82,28,46,6.44,scattered clouds,0,0
138,Gushi,CN,34.6425,109.5843,54.59,92,100,6.87,overcast clouds,0,0
139,Thompson,CA,55.7435,-97.8558,60.96,41,40,18.41,scattered clouds,0,0
140,Hargeysa,SO,9.56,44.065,73.02,65,73,6.78,broken clouds,0,0
